Day,Temperature
0,22.436518045494864
1,19.254498941083234
2,19.551958487832273
3,18.906743738998284
4,21.986135712010217
5,17.40733994205404
6,23.648234620799066
7,20.06027009765087
8,21.851346365218298
9,21.169032643426696
10,23.906093347382235
11,18.79205603418596
12,21.56741919266593
13,21.643133598039032
14,24.087381823562655
15,20.903696050190824
16,22.4609392640154
17,21.568036701924033
18,23.112532866636283
19,24.08691943749738
20,21.72430023012175
21,25.253846786523138
22,25.049631509795923
23,24.610375570788875
24,25.366163815956348
25,23.14634423736167
26,24.14342058722634
27,23.078639266015504
28,24.233670589589483
29,25.582871601265165
30,23.90026437401181
31,24.49157914823708
32,24.203397023476104
33,24.112243253134917
34,24.51748393542097
35,25.648020664532826
36,24.13203721158509
37,26.298890416333272
38,28.574471966816066
39,27.33353372527468
40,26.06656968035935
41,25.15485216422256
42,25.495608741796524
43,29.283118089871074
44,26.94673930440071
45,26.039089800662442
46,27.402939449818945
47,30.38682308767739
48,27.5344086583623
49,28.39552554152668
50,28.033313564719364
51,27.1657734990991
52,26.089181213674543
53,27.385442483948456
54,27.700269531684597
55,28.995325376846907
56,29.473240653835898
57,29.708359385613413
58,28.834565044226174
59,29.82588266168137
60,27.45604267126305
61,30.553865780145898
62,29.528311782069444
63,28.393535846779564
64,29.65259068440173
65,28.88295112699085
66,30.767582209203496
67,31.421005106486636
68,32.48807598696609
69,27.18067233255976
70,27.172201580084867
71,19.328412870017097
72,29.696019478443173
73,30.824818544625874
74,30.035800686781464
75,26.577996014987004
76,29.198093357605988
77,30.94260118242594
78,30.08614665477078
79,30.921500185524607
80,29.479572488800557
81,29.543601064125927
82,30.15333651042229
83,30.514402421685915
84,30.219671674369476
85,29.456552170617343
86,28.953196532038245
87,30.539595410562935
88,30.167086118042796
89,31.68672597426471
90,31.79606183965117
91,30.277642023587816
92,29.436239161412207
93,29.037367195692237
94,30.624038686946506
95,30.09518171117676
96,29.450808504185087
97,30.016448396258347
98,29.00256722675195
99,30.958188691042878
100,34.72003006013344
101,31.696243056846555
102,30.434502982486023
103,30.686504701310497
104,28.11773773771212
105,29.975255615878616
106,30.79021250688505
